"","baseMean","log2FoldChange","lfcSE","pvalue","padj","status"
"VCAM1",562.73485756769,-1.36882552672542,0.116416307136303,6.42210333419852e-32,1.69401111581482e-31,"OK"
"EXTL2",2267.59904432557,0.973705436833568,0.114195513395409,1.50643800977668e-17,3.06169896467095e-17,"OK"
"SLC30A7",1065.34548627466,-1.25257789305705,0.2236219628828,NaN,NaN,"Outlier"
"DPH5",1446.28491450674,-1.17006008409968,0.0922852936814626,7.75811963656643e-37,2.18753335224252e-36,"OK"
"S1PR1",2168.22154776488,4.86206318081127,0.110356645687457,0,0,"OK"
"RNU6-6",0,NaN,NaN,NaN,NaN,"Low"
"OLFM3",1542.93887509195,10.1767185731945,0.576916006662699,1.21758580201915e-69,4.91213803783448e-69,"OK"
"DNAJA1P5",0.260049405213937,0.430918181285075,0.810044977434192,0.594748009478569,NaN,"Low"
"COL11A1",598.122964879238,3.06596316621288,0.148367345863549,7.2038566667416e-95,3.55821999066694e-94,"OK"
"RNPC3",1198.96223644193,0.988415971424261,0.0935471700315959,4.28545689953722e-26,1.02319391357577e-25,"OK"
"AMY2B",1014.00649294732,3.45786323879612,0.137466632510772,1.27129435622938e-139,8.47863996242123e-139,"OK"
"ACTG1P4",162.207948451502,4.87725192232138,0.425710621992017,2.1757359307345e-30,5.59524497359008e-30,"OK"
"AMY2A",25.386138855409,5.91771009463289,0.973299752084553,1.20145895270442e-09,1.98790714466207e-09,"OK"
"AMY1A",0,NaN,NaN,NaN,NaN,"Low"
"AMY1C",0,NaN,NaN,NaN,NaN,"Low"
"AMY1B",0,NaN,NaN,NaN,NaN,"Low"
"LOC100129138",10.7851986245513,0.441509632606808,0.652312399729004,0.498508927407898,0.523090991232068,"OK"
"PRMT6",1262.84450054416,-1.11994943260653,0.0989659529792728,1.08711279624822e-29,2.76285132393199e-29,"OK"
"NTNG1",902.402874331158,1.14404458075107,0.085444913049543,6.98687694533634e-41,2.08361796586933e-40,"OK"
"VAV3",975.106232591742,-0.430344438060613,0.0871432835590318,7.87844741644353e-07,1.17722325755345e-06,"OK"
"VAV3-AS1",0,NaN,NaN,NaN,NaN,"Low"
"SLC25A24",1652.44881982108,-3.24144167659498,0.114197675098433,3.14346257469081e-177,2.56492093393277e-176,"OK"
"NBPF4",25.1693304651416,-4.68582042914117,0.804932552851221,5.83627633283386e-09,9.45816784574948e-09,"OK"
"NBPF6",9.3276109338398,-2.30447784233365,0.986538399224662,0.0194952494456814,NaN,"Low"
"FAM102B",4171.12233007391,-0.205628577489745,0.066052503064849,0.0018512824184539,0.00235838842009197,"OK"
"HENMT1",1257.30572069403,-0.936927142568455,0.0767368615894145,2.76210421689024e-34,7.53559777665659e-34,"OK"
"PRPF38B",5053.557622587,-0.277653420630349,0.0721090620075077,0.000117893769807979,0.000159592733240443,"OK"
"FNDC7",18.5237059520294,1.10664486593231,0.557377899789061,0.0470946441982868,0.0545838982880745,"OK"
"STXBP3",2628.92535027679,0.429113501115273,0.0658675424170427,7.27892542713919e-11,1.25125038314064e-10,"OK"
"AKNAD1",12.9709249155272,0.940949302810064,0.919621298285493,0.306216998926996,0.329579300136903,"OK"
"SRG7",3.630539926615,2.48011442599905,1.10543649405411,0.0248606481114855,NaN,"Low"
"GPSM2",2062.8180009224,-0.331906397597288,0.0886039766380938,0.000179709708506586,0.000241157519611825,"OK"
"CLCC1",2731.79784284972,-0.106872410390971,0.0521430858252242,0.040403589660238,0.0470747443343122,"OK"
"WDR47",5551.18495310553,3.09180987029007,0.0663803976802748,0,0,"OK"
"TAF13",728.643035713063,0.715698020412475,0.104269591829681,6.69966828562302e-12,1.18590677303961e-11,"OK"
"TMEM167B",3287.40578800038,0.953520518358942,0.0835150035558747,3.42495896505313e-30,8.7798276401557e-30,"OK"
"SCARNA2",19.5494814537505,-3.18685090697013,0.680858166530458,2.85982914003806e-06,4.16557680139983e-06,"OK"
