"","mRNA-UHRR-C2","mRNA-UHRR-C1","mRNA-Brain-C6","mRNA-Brain-C4"
"SCGB2B2",0,2,1,11
"SCGB2B3P",0,0,0,0
"ZNF302",1390,1403,4850,4061
"ZNF181",648,659,1331,1263
"ZNF599",172,168,241,248
"LOC400685",16,53,0,0
"LOC100652909",0,0,1,2
"ZNF30",360,403,693,728
"ZNF792",391,408,241,183
"GRAMD1A",4887,4095,3674,3847
"SCN1B",511,474,17133,18498
"HPN",1984,1714,425,384
"LOC100128675",2,0,244,232
"FXYD3",1383,1227,129,145
"LGI4",76,94,5062,5314
"FXYD1",156,153,3943,3926
"FXYD7",3,3,4284,4571
"FXYD5",7446,6913,506,578
"FAM187B",2,0,1,0
"LSR",4724,4274,648,665
"USF2",5847,5038,11340,11254
"HAMP",349,334,267,359
"MAG",58,62,20665,21800
"CD22",143,149,2387,2483
"MIR5196",0,0,0,6
"FFAR1",0,2,12,22
"FFAR3",0,0,0,0
"LOC100128682",1349,1238,0,3
"FFAR2",19,24,18,6
"KRTDAP",25,6,10,6
"DMKN",1545,1425,387,341
"SBSN",77,58,11,14
"GAPDHS",2,6,3,5
"LOC100506469",755,702,317,322
"TMEM147",4771,4111,2466,2797
"ATP4A",10,4,329,322
"HAUS5",3446,2899,1261,1408
"RBM42",4862,4282,2984,2968
"ETV2",46,23,19,38
"COX6B1",8233,7404,8329,8845
"UPK1A",78,50,26,27
"UPK1A-AS1",73,69,0,0
"ZBTB32",10,0,1,0
"MLL4",7074,6628,4515,5024
"IGFLR1",285,215,236,311
"U2AF1L4",382,321,776,884
"PSENEN",2326,2126,1783,1967
"LIN37",577,554,952,961
"HSPB6",2310,2058,1699,1854
"C19orf55",865,872,261,333
"ARHGAP33",2539,2246,5523,5953
"PRODH2",312,261,2,8
"NPHS1",8,20,74,59
"KIRREL2",246,209,51,60
"APLP1",1134,1026,54668,57647
"NFKBID",359,264,230,207
"HCST",163,151,128,143
"TYROBP",47,25,581,714
"LRFN3",712,619,1051,1082
"SDHAF1",976,795,1520,1649
"SYNE4",333,266,415,439
"ALKBH6",865,666,1128,1151
"CLIP3",1160,1075,45824,47050
"THAP8",467,391,544,605
"WDR62",3787,3389,137,122
"OVOL3",5,4,0,0
"POLR2I",1758,1479,2743,2848
"TBCB",3672,3136,8740,9490
"CAPNS1",17013,15836,18411,18987
"COX7A1",0,3,1793,1937
"ZNF565",200,185,306,374
"ZNF146",8111,8206,4926,4355
"LOC100134317",2,0,37,19
"LINC00665",562,414,782,696
"ZFP14",581,565,1417,1364
"ZFP82",479,467,567,537
"LOC644189",3,6,48,33
"ZNF566",556,572,776,662
"LOC728752",85,77,200,178
"ZNF260",1710,1729,1369,1311
"ZNF529",1341,1263,1954,1903
"ZNF382",297,287,1126,1036
"ZNF461",307,249,659,595
"ZNF567",791,760,604,591
"ZNF850",720,768,64,101
"ZNF790-AS1",77,70,143,163
"ZNF790",154,128,327,269
"ZNF345",275,248,222,183
"ZNF829",248,280,228,233
"ZNF568",296,322,810,757
"ZNF420",496,455,965,865
"ZNF585A",482,433,720,782
"ZNF585B",587,544,1321,1239
"ZNF383",292,305,327,349
"LOC284412",23,22,129,93
"HKR1",2080,2051,3020,2854
"ZNF527",392,391,514,470
"ZNF569",518,493,863,784
"ZNF570",134,180,379,346
"ZNF793",158,172,950,770
"LOC100507433",79,71,245,307
"ZNF540",81,71,2528,2263
"ZNF571",163,181,145,144
"ZFP30",570,578,977,932
"ZNF781",90,94,531,455
"ZNF607",736,724,1017,968
"ZNF573",101,114,192,145
"LOC644554",47,40,107,83
"LOC100631378",14,1,0,0
"WDR87",1,0,0,1
"SIPA1L3",2869,2816,2943,3129
"DPF1",321,308,2234,2502
"PPP1R14A",177,161,3171,3277
"SPINT2",8458,7587,5489,5729
"YIF1B",4203,4060,2093,2274
"C19orf33",879,808,6,15
"KCNK6",1425,1171,64,69
"CATSPERG",147,149,185,223
"PSMD8",10773,9987,8068,8862
"GGN",39,22,70,134
"SPRED3",301,258,1116,1039
"FAM98C",625,521,1431,1602
"RASGRP4",81,75,60,61
"RYR1",383,332,3514,3635
"MAP4K1",904,882,138,136
"EIF3K",9939,9479,7135,7149
"ACTN4",30016,27388,15355,16313
"CAPN12",265,237,31,29
"LGALS7",0,0,0,0
"LGALS7B",7,6,0,1
"LGALS4",23,16,12,29
"ECH1",7320,6400,4464,5108
"HNRNPL",23020,21738,11663,11851
"RINL",533,475,564,486
"SIRT2",2527,2224,15923,16705
"NFKBIB",1680,1439,1412,1517
"LOC643669",46,41,93,112
"SARS2",1886,1638,1152,1276
"MRPS12",2331,1900,984,1112
"FBXO17",1673,1595,1349,1429
"FBXO27",198,203,1735,1622
"PAPL",35,44,603,579
"PAK4",4403,3883,1617,1983
"NCCRP1",19,17,11,7
"SYCN",0,0,0,0
"IFNL3",2,0,0,2
"IFNL4",0,0,0,5
"IFNL2",1,4,0,0
"IFNL1",0,2,0,0
"LRFN1",476,411,1755,2046
"GMFG",856,1025,221,237
"SAMD4B",6171,5799,7519,7477
"PAF1",4122,4026,4611,4806
"MED29",3767,3742,7171,7621
"ZFP36",5300,4994,3834,3768
"MIR4530",0,0,0,0
"PLEKHG2",3567,3167,515,630
"RPS16",48750,44752,12158,13525
"SUPT5H",10506,9366,11670,12227
"TIMM50",4817,4236,2375,2560
"DLL3",1424,1199,412,354
"SELV",37,10,1,1
"EID2B",295,308,1054,1041
"EID2",809,742,1710,1604
"LGALS13",0,0,7,0
"LOC100129935",0,0,5,7
"LGALS16",0,0,8,2
"LGALS17A",9,7,0,0
"LGALS14",2,6,0,0
"CLC",0,0,0,3
"LEUTX",0,0,0,0
"DYRK1B",861,744,1775,1919
"FBL",14078,12940,2628,2661
"FCGBP",225,158,766,734
"PSMC4",7850,7029,5126,5107
"ZNF546",200,197,262,270
"ZNF780B",941,983,2196,1913
"ZNF780A",787,903,1052,851
"MAP3K10",1278,1047,7937,8520
"TTC9B",1,0,3106,3272
"CNTD2",66,55,363,402
"AKT2",9419,8462,7547,8177
"MIR641",10,7,10,15
"C19orf47",1048,943,655,750
"PLD3",11314,9919,26381,28507
"HIPK4",11,11,0,2
"PRX",495,462,589,538
"SERTAD1",853,807,392,504
"SERTAD3",1444,1249,406,423
"BLVRB",4251,3673,1465,1516
"SPTBN4",172,144,9925,10501
"SHKBP1",4139,3566,777,965
"LTBP4",6804,5720,1897,2218
"NUMBL",1859,1741,4374,4737
"ADCK4",1739,1418,1923,1964
"ITPKC",1847,1776,1464,1399
"C19orf54",2334,2289,505,530
"SNRPA",8216,7896,2324,2339
"MIA",31,47,0,0
"MIA-RAB4B",5,0,0,0
"RAB4B",0,0,2,1
"RAB4B-EGLN2",1,0,6,1
"EGLN2",12,19,25,26
"CYP2A6",3,0,8,4
"CYP2A7",0,0,0,7
"CYP2G1P",2,0,41,31
"CYP2B7P1",14,21,110,116
"CYP2B6",1,2,0,0
"CYP2A13",4,4,0,0
"CYP2F1",4,0,0,0
"CYP2S1",1249,1171,107,106
"AXL",7716,7631,2000,1945
"HNRNPUL1",24971,23304,11597,11578
"CCDC97",2590,2291,1610,1657
"TGFB1",6573,5568,870,980
"B9D2",207,168,213,205
"TMEM91",341,254,508,479
"EXOSC5",2220,1826,816,915
"BCKDHA",3373,3146,2730,2915
"B3GNT8",59,49,47,26
"ATP5SL",2708,2216,2103,2204
"C19orf69",1,3,1,0
"LOC100505495",3,15,160,187
"CEACAM21",24,21,54,44
"CEACAM4",21,21,19,2
"CEACAM7",3,0,4,1
"CEACAM5",434,357,0,0
"CEACAM6",98,97,1,0
"CEACAM3",0,0,5,0
"LYPD4",0,0,0,0
"DMRTC2",0,0,0,1
"RPS19",54508,47692,11764,12413
"CD79A",89,71,3,19
"ARHGEF1",7222,6609,2778,2832
"RABAC1",2018,1626,3924,4508
"ATP1A3",1016,977,75263,77219
"GRIK5",183,207,4375,4952
"ZNF574",1550,1224,1466,1516
"POU2F2",167,139,1140,1061
"LOC100505622",2,2,6,6
"MIR4323",0,0,0,0
"DEDD2",1758,1467,2551,2440
"ZNF526",928,841,503,649
"GSK3A",4830,4432,10848,11688
"ERF",3867,3513,2550,3019
"CIC",6783,6202,14038,14690
"PAFAH1B3",2532,2199,1854,1849
"PRR19",175,216,158,216
"TMEM145",508,458,6955,7358
"MEGF8",5148,4832,15387,16074
"CNFN",82,61,53,58
"LOC100996307",64,33,142,138
"LIPE",212,195,2889,2978
"CXCL17",0,1,0,2
"CEACAM1",1756,1938,25,25
"CEACAM8",0,0,0,0
"PSG3",3,4,2,0
"PSG8",7,0,0,0
"LOC100289650",0,0,91,100
"PSG10P",0,0,5,7
"PSG1",12,22,0,0
"PSG6",1,2,0,0
"PSG7",1,2,0,0
"PSG11",7,9,0,0
"PSG2",1,4,0,0
"PSG5",28,51,0,0
"PSG4",186,162,0,0
"LOC284344",82,78,0,0
"PSG9",15,26,0,0
"PRG1",0,0,1,2
"CD177",1011,1037,112,86
"TEX101",0,0,8,5
"LYPD3",1537,1303,46,40
"PHLDB3",817,541,278,223
"ETHE1",1220,1168,891,860
"ZNF575",86,115,495,395
"XRCC1",3433,3121,2080,2055
"PINLYP",73,47,131,176
"IRGQ",2201,2182,4733,4897
"ZNF576",531,511,1066,1136
"ZNF428",1837,1576,4058,3967
"SRRM5",51,46,70,59
"CADM4",1019,938,15776,15471
"PLAUR",2514,2243,355,298
"IRGC",0,0,0,0
"SMG9",3363,3161,2975,3003
"KCNN4",1238,998,100,82
"LYPD5",33,36,1223,1250
"ZNF283",240,260,189,215
"ZNF404",221,220,431,392
"LOC100505715",107,86,183,207
"ZNF45",1039,1212,738,681
"ZNF221",87,93,202,189
"ZNF155",436,421,591,541
"ZNF230",341,320,402,431
"ZNF222",218,213,377,368
"ZNF223",237,226,693,594
"ZNF284",219,191,187,155
"ZNF224",1199,966,1442,1459
"LOC100379224",135,170,594,600
"ZNF225",300,288,353,302
"ZNF234",634,603,528,618
"ZNF226",940,1052,1037,1107
"ZNF227",1005,1213,1279,1253
"ZNF233",60,82,368,361
"ZNF235",233,213,364,389
"ZFP112",312,258,687,607
"ZNF285",137,128,544,420
"ZNF229",511,500,403,345
"ZNF180",757,730,550,405
"CEACAM20",0,0,1,0
"CEACAM22P",13,19,1,2
"IGSF23",34,43,5,0
"PVR",5433,5392,2683,2979
"MIR4531",0,0,0,0
"CEACAM19",238,210,523,466
"CEACAM16",0,1,0,0
"BCL3",1501,1342,413,488
"CBLC",40,18,0,0
"BCAM",7140,6219,1556,1708
"PVRL2",6336,5828,1236,1207
"TOMM40",8172,7424,3091,3436
"APOE",14042,11639,28878,31445
"APOC1",2974,2746,646,783
"APOC1P1",17,32,0,0
"APOC4-APOC2",5,1,0,2
"APOC4",0,0,0,0
"APOC2",0,0,0,0
"CLPTM1",7425,6748,12610,13822
"RELB",923,796,280,258
"CLASRP",4029,3432,3241,3482
"ZNF296",250,231,195,230
"GEMIN7",1348,1125,663,652
"PPP1R37",2665,2507,5116,5214
"NKPD1",57,37,55,59
"TRAPPC6A",1176,1067,476,720
"BLOC1S3",695,681,694,816
"EXOC3L2",292,256,7,11
"MARK4",2710,2375,5371,5707
"CKM",23,32,0,1
"KLC3",117,102,27,22
"ERCC2",2800,2628,1330,1312
"PPP1R13L",1985,1434,382,383
"CD3EAP",1948,1745,446,477
"ERCC1",4057,3479,4095,4229
"FOSB",4084,3806,535,577
"RTN2",731,639,3889,4139
"PPM1N",198,195,62,61
"VASP",5552,4887,1072,1129
"OPA3",2246,2049,1568,1685
"GPR4",15,8,817,800
"EML2",2994,2791,6150,6278
"MIR330",1,0,0,0
"LOC100287177",347,302,2,1
"GIPR",241,207,115,117
"MIR642A",1,0,3,0
"MIR642B",0,0,0,0
"SNRPD2",11032,10589,4554,4829
"QPCTL",1579,1555,724,698
"FBXO46",1689,1527,611,662
"LOC388553",11,19,0,0
"SIX5",2156,1886,249,254
"DMPK",3318,2709,4753,4758
"DMWD",2361,2029,4200,4239
"RSPH6A",8,3,2,1
"SYMPK",7661,6840,5466,5547
"FOXA3",313,323,0,6
"IRF2BP1",2169,1707,3495,3693
"MYPOP",620,524,2282,2359
"NANOS2",0,0,3,3
"NOVA2",21,42,1448,1687
"CCDC61",726,581,484,532
"MIR769",0,0,0,0
"PGLYRP1",0,0,0,1
"IGFL4",0,0,19,28
"IGFL3",0,0,5,0
"IGFL2",11,4,7,11
"DKFZp434J0226",27,22,131,135
"RNU6-66",0,0,0,0
"IGFL1",3,18,7,8
"HIF3A",133,102,1707,1668
"PPP5C",5809,5319,5645,5867
"CCDC8",723,580,227,271
"PNMAL1",1276,1118,17123,16951
"PPP5D1",17,13,141,142
"PNMAL2",33,25,10506,11027
"CALM3",18146,16984,109029,112184
"PTGIR",46,25,37,34
"GNG8",0,2,42,48
"DACT3",127,181,5278,5058
"DACT3-AS1",0,0,16,23
"PRKD2",3544,3096,549,652
"MIR320E",0,2,0,0
"STRN4",7063,6100,5256,5595
"FKRP",1240,975,1595,1666
"SLC1A5",22030,19962,463,402
"SNAR-E",0,0,0,0
"AP2S1",5396,5008,4379,4885
"ARHGAP35",8201,8103,13492,13370
"NPAS1",494,405,365,387
"TMEM160",823,549,2001,2032
"ZC3H4",3743,3348,2798,2514
"SAE1",12220,12181,5876,5977
"BBC3",1147,894,612,583
"MIR3190",1,0,0,0
"MIR3191",7,4,4,2
"CCDC9",1703,1402,1132,1070
"PRR24",546,371,1060,1191
"C5AR1",163,159,198,288
"C5AR2",146,123,25,28
"DHX34",2970,2486,1292,1340
"MEIS3",1553,1316,2941,3242
"SLC8A2",93,80,14841,15337
"KPTN",712,654,845,917
"NAPA-AS1",111,49,49,45
"NAPA",5171,4493,16012,17148
"ZNF541",85,94,44,68
"GLTSCR1",1489,1226,1739,1887
"EHD2",7198,6538,2061,2135
"GLTSCR2",15016,13198,7370,7470
"SNORD23",59,76,12,2
"SEPW1",3883,3448,29670,31574
"TPRX1",0,0,0,0
"CRX",11,12,2,0
"SULT2A1",1334,1355,2,5
"SNAR-A12",0,0,0,0
"SNAR-A13",0,0,0,0
"SNAR-C1",0,0,0,0
"SNAR-C5",0,0,0,0
"SNAR-C2",0,0,0,0
"SNAR-A1",0,0,0,0
"SNAR-A2",0,0,0,0
"SNAR-A14",0,0,0,0
"SNAR-A10",0,0,0,0
"SNAR-A11",0,0,0,0
"SNAR-A4",0,0,0,0
"SNAR-A5",0,0,0,0
"SNAR-A9",0,0,0,0
"SNAR-A3",0,0,0,0
"SNAR-A7",0,0,0,0
"SNAR-A6",0,0,0,0
"SNAR-A8",0,0,0,0
"SNAR-C4",0,0,0,0
"SNAR-C3",0,0,2,0
"BSPH1",0,0,3,0
"ELSPBP1",10,4,0,0
"CABP5",0,0,0,3
"PLA2G4C",196,187,3415,3283
"LIG1",6420,5843,1261,1252
"CARD8",1488,1403,1115,1048
"LOC100505812",267,204,90,56
"ZNF114",211,246,75,76
"CCDC114",110,115,60,93
"EMP3",4932,4602,495,545
"TMEM143",869,798,593,598
"SYNGR4",23,15,69,98
"KDELR1",12684,11598,3880,3560
"GRIN2D",623,486,513,546
"GRWD1",3568,3375,1409,1404
"KCNJ14",257,241,134,135
"CYTH2",7158,6194,5019,4630
"LMTK3",550,464,6985,7327
"SULT2B1",462,417,50,63
"FAM83E",67,40,29,16
"SPACA4",2,0,2,0
"RPL18",48900,42439,16558,17303
"SPHK2",1225,1069,3234,3418
"DBP",1438,1161,3849,3946
"CA11",638,754,23335,25210
"SEC1P",11,14,30,17
"NTN5",68,68,89,77
"FUT2",13,1,106,106
"MAMSTR",204,203,277,303
"RASIP1",1928,1749,854,748
"IZUMO1",20,26,29,33
"FUT1",252,297,606,563
"FGF21",9,20,1,0
"BCAT2",3156,2805,1371,1269
"HSD17B14",211,177,1136,1307
"PLEKHA4",1561,1345,311,345
"PPP1R15A",7183,6621,3336,3078
"TULP2",7,18,53,52
"NUCB1",15536,13725,11284,11286
"DHDH",61,46,92,98
"BAX",3595,3233,923,1021
"FTL",136225,125090,60185,61846
"GYS1",5830,5236,2491,2445
"RUVBL2",8887,8060,3597,3772
"LHB",28,24,1,0
"LOC101059948",46,22,1,0
"CGB",2,0,0,0
"SNAR-G2",0,0,0,0
"CGB2",0,0,0,0
"CGB1",0,0,0,0
"SNAR-G1",0,0,0,0
"CGB5",1,0,0,0
"CGB8",0,2,0,0
"CGB7",18,22,3,1
"NTF4",12,10,0,0
"KCNA7",7,5,0,0
"SNRNP70",13536,11751,15035,15907
"LIN7B",231,212,929,972
"C19orf73",66,57,82,87
"PPFIA3",1552,1235,7977,8379
"HRC",388,390,100,103
"TRPM4",1513,1327,780,894
"SLC6A16",140,130,35,82
"MIR4324",5,2,0,0
"CD37",718,670,251,298
"TEAD2",1824,1599,307,310
"DKKL1",26,32,6,2
"CCDC155",48,71,325,311
"PTH2",6,1,4,3
"LOC100507003",32,19,12,19
"SLC17A7",183,222,53723,56597
"PIH1D1",3727,3233,2697,2589
"ALDH16A1",3055,2791,801,926
"FLT3LG",371,311,139,137
"RPL13A",17322,16786,3312,3507
"RPL13AP5",0,0,0,0
"SNORD32A",52,51,22,17
"SNORD33",16,19,2,4
"SNORD34",47,26,5,2
"SNORD35A",38,50,12,7
"RPS11",64332,59980,24857,26784
"SNORD35B",62,47,15,5
"MIR150",0,0,0,0
"FCGRT",2648,2263,1364,1442
"RCN3",637,512,414,424
"NOSIP",2385,1993,1775,1977
"PRRG2",91,116,24,23
"PRR12",4080,3844,5792,5884
"RRAS",2140,1882,688,777
"SCAF1",6680,5653,8206,8701
"IRF3",5391,4606,2281,2253
"BCL2L12",1986,1643,103,91
"PRMT1",13218,11754,5846,5852
"MIR5088",0,0,0,2
"ADM5",583,539,192,188
"CPT1C",207,219,4416,4423
"TSKS",45,48,20,17
"AP2A1",9112,8081,14060,14807
"FUZ",1029,931,1566,1762
"MED25",3649,2966,2993,3016
"PTOV1-AS1",38,44,18,13
"PTOV1",7300,6198,10800,11446
"MIR4749",0,0,0,0
"PNKP",2689,2421,1424,1468
"AKT1S1",4360,3659,2480,2595
"TBC1D17",2389,2217,5668,5957
"MIR4750",5,3,2,6
"IL4I1",95,68,35,37
"NUP62",9065,8250,2998,3282
"ATF5",2588,2360,1038,951
"MIR4751",0,0,0,0
"SIGLEC11",4,0,26,42
"SIGLEC16",0,0,16,14
"VRK3",2187,2225,1610,1580
"ZNF473",1795,1726,760,839
"FLJ26850",6,12,53,36
"SNAR-B2",0,0,0,0
"SNAR-B1",0,0,0,0
"SNAR-D",0,0,0,0
"IZUMO2",1,0,4,0
"MYH14",3228,2832,5213,5598
"KCNC3",189,182,1644,1898
"NAPSB",0,0,299,412
"NAPSA",60,63,33,45
"NR1H2",4406,3741,5159,5325
"POLD1",7707,6765,580,722
"SPIB",46,56,2,3
"MYBPC2",235,199,56,69
"FAM71E1",122,86,422,402
"EMC10",5141,4502,5803,6336
"JOSD2",767,686,1006,1116
"ASPDH",17,21,1216,1365
"LRRC4B",410,322,10718,11632
"SNAR-F",0,0,0,0
"SYT3",143,145,2483,2811
"C19orf81",125,77,159,195
"SHANK1",129,92,9536,9976
"CLEC11A",951,792,575,642
"GPR32",0,0,0,0
"ACPT",0,0,0,4
"C19orf48",7938,7066,494,612
"SNORD88B",62,34,0,0
"SNORD88A",3,5,3,0
"SNORD88C",14,15,5,0
"MGC45922",19,24,28,24
"KLK1",204,203,4,2
"KLK15",4,6,0,0
"KLK3",0,0,0,1
"KLK2",28,47,6,0
"KLKP1",0,0,0,1
"KLK4",1,6,16,9
"KLK5",11,17,115,94
"KLK6",69,98,6246,6212
"KLK7",14,29,796,676
"KLK8",44,33,12,36
"KLK9",0,1,0,0
"KLK10",85,108,239,209
"KLK11",1244,1062,2,6
"KLK12",26,28,0,0
"KLK13",57,65,0,0
"KLK14",43,23,60,47
"CTU1",571,452,479,473
"SIGLEC9",72,82,101,118
"SIGLEC7",242,303,53,46
"SIGLEC17P",32,22,0,2
"CD33",819,825,54,72
"SIGLECL1",0,2,0,0
"IGLON5",415,380,3987,4318
"VSIG10L",471,442,466,514
"ETFB",7396,6596,3584,3703
"CLDND2",49,30,53,78
"NKG7",489,438,33,16
"LIM2",8,6,0,0
"LOC147646",38,40,10,6
"SIGLEC10",68,79,414,427
"LOC100129083",9,14,1,0
"SIGLEC8",25,6,281,252
"CEACAM18",1,4,0,0
"SIGLEC12",240,244,0,1
"SIGLEC6",104,76,0,5
"ZNF175",826,898,1108,1080
"FLJ30403",28,20,146,127
"SIGLEC5",162,157,19,20
"SIGLEC14",39,64,75,85
"MIR99B",0,0,0,0
"MIRLET7E",0,0,0,0
"MIR125A",3,0,0,0
"LINC00085",277,247,740,734
"HAS1",32,45,269,289
"FPR1",18,26,571,593
"FPR2",11,8,13,35
"FPR3",28,44,33,28
"ZNF577",616,572,707,686
"ZNF649",663,798,548,643
"ZNF613",257,244,362,321
"ZNF350",320,345,560,529
"ZNF615",332,383,1019,1163
"ZNF614",1036,1065,914,970
"ZNF432",499,516,582,497
"ZNF841",1160,1263,1140,1103
"ZNF616",791,864,396,387
"ZNF836",235,284,372,467
"PPP2R1A",16773,15146,29877,31847
"ZNF766",1293,1376,516,518
"MIR643",2,0,2,0
"ZNF480",1612,1565,632,539
"ZNF610",256,252,434,413
"ZNF880",374,371,475,397
"ZNF528",871,781,1417,1310
"ZNF534",7,10,52,58
"ZNF578",190,181,195,200
"ZNF808",433,448,247,293
"ZNF701",428,444,207,255
"ZNF137P",218,196,164,111
"ZNF83",2783,2892,4889,4714
"ZNF611",558,547,682,576
"ZNF600",570,598,487,540
"ZNF28",918,970,630,568
"ZNF468",960,833,561,497
"ZNF320",1355,1364,1060,917
"ZNF816-ZNF321P",0,0,5,0
"ZNF321P",2,7,0,3
"ZNF816",426,460,247,239
"ZNF702P",193,213,1494,1251
"ERVV-1",0,0,3,20
"ERVV-2",6,4,0,0
"ZNF160",2524,2451,2169,2164
"ZNF415",371,390,2129,2011
"ZNF347",544,554,571,695
"ZNF665",99,143,150,96
"ZNF818P",204,210,330,253
"ZNF677",71,55,127,158
"VN1R2",0,0,4,2
"VN1R4",0,0,0,0
"FAM90A27P",0,0,0,0
"BIRC8",0,0,0,0
"ZNF845",680,704,316,306
"ZNF525",776,872,444,449
"ZNF765",605,624,162,152
"ZNF761",1621,1575,571,579
"TPM3P9",581,561,430,434
"ZNF813",309,307,54,28
"ZNF331",2438,2411,3785,3631
"LOC284379",3,4,0,0
"DPRX",0,0,0,0
"MIR512-2",0,0,0,0
"MIR512-1",0,0,0,0
"MIR1323",0,0,0,0
"MIR498",0,0,0,0
"MIR520E",0,0,0,0
"MIR515-1",0,0,0,0
"MIR515-2",0,0,0,0
"MIR519E",0,0,0,0
"MIR520F",0,0,0,0
"MIR519C",0,0,0,0
"MIR1283-1",0,0,0,0
"MIR520A",0,0,0,0
"MIR526B",0,0,0,0
"MIR519B",0,0,0,0
"MIR525",0,0,0,0
"MIR523",0,0,0,0
"MIR518F",0,0,0,0
"MIR520B",0,0,0,0
"MIR518B",0,0,0,0
"MIR526A1",0,0,0,0
"MIR520C",0,0,0,0
"MIR518C",0,0,0,0
"MIR524",0,0,0,0
"MIR517A",0,0,0,0
"MIR519D",0,0,0,0
"MIR521-2",0,0,0,0
"MIR520D",0,0,0,0
"MIR517B",0,0,0,0
"MIR520G",0,0,0,0
"MIR516B2",0,0,0,0
"MIR526A2",0,0,0,0
"MIR518E",0,0,0,0
"MIR518A1",0,0,0,0
"MIR518D",0,0,0,0
"MIR516B1",0,0,0,0
"MIR518A2",0,0,0,0
"MIR517C",0,0,0,0
"MIR520H",0,0,0,0
"MIR521-1",0,0,0,0
"MIR522",0,0,0,0
"MIR519A1",0,0,0,0
"MIR527",0,0,0,0
"MIR516A1",0,0,0,0
"MIR1283-2",0,0,0,0
"MIR516A2",0,0,0,0
"MIR519A2",0,0,0,0
"MIR371A",0,0,0,0
"MIR371B",0,0,0,0
"MIR372",0,0,0,0
"MIR373",0,0,0,0
"NLRP12",105,117,8,20
"MYADM",5459,4883,3438,3646
"PRKCG",48,47,8969,9662
"CACNG7",509,531,8803,9080
"CACNG8",182,186,6931,6707
"MIR935",0,0,0,0
"CACNG6",75,66,16,24
"VSTM1",0,0,21,14
"TARM1",0,0,0,0
"OSCAR",250,227,149,148
"NDUFA3",1887,1622,3577,3862
"TFPT",1071,924,1746,1791
"PRPF31",4757,4301,2871,3089
"CNOT3",5170,4741,3254,3371
"LENG1",537,521,536,528
"TMC4",1344,1200,48,80
"MBOAT7",6691,5806,6466,6862
"TSEN34",3331,2871,1088,1092
"RPS9",37900,34324,14238,14325
"LILRB3",11,5,55,87
"LILRA6",7,8,51,65
"LILRB5",1,0,49,49
"LILRB2",48,40,69,75
"MIR4752",0,0,0,0
"LILRA3",0,0,2,2
"LILRA5",12,12,36,16
"LILRA4",8,9,87,74
"LAIR1",1809,1729,555,584
"TTYH1",309,291,15606,16500
"LENG8",14117,12278,15542,16348
"LENG9",406,303,151,134
"CDC42EP5",117,50,64,86
"LAIR2",5,8,25,26
"KIR3DX1",5,11,17,0
"LILRA2",543,479,126,99
"LILRA1",13,11,51,127
"LILRB1",50,72,134,163
"LILRB4",586,446,244,270
"LILRP2",3,9,0,0
"KIR3DL3",0,0,0,0
"KIR2DL3",0,0,0,0
"KIR2DL1",0,0,0,0
"LOC100287534",0,0,0,0
"KIR2DL4",0,0,0,0
"KIR3DL1",1,0,0,0
"KIR2DS4",0,0,1,0
"KIR3DL2",6,2,0,1
"FCAR",32,27,17,16
"NCR1",6,3,0,0
"NLRP7",266,178,4,0
"RNU6-35",0,0,0,0
"RNU6-64",0,0,0,0
"NLRP2",1333,1268,167,227
"GP6",105,65,106,121
"RDH13",1060,1001,439,546
"EPS8L1",769,664,8,25
"PPP1R12C",5057,4609,9668,9903
"TNNT1",2224,2053,266,245
"TNNI3",199,218,20,12
"DNAAF3",463,402,25,24
"SYT5",137,71,4844,5287
"PTPRH",1697,1640,407,461
"TMEM86B",541,556,594,640
"PPP6R1",13136,12092,7005,7607
"HSPBP1",3185,2718,2994,3183
"BRSK1",1033,946,19599,20342
"TMEM150B",16,22,0,3
"SUV420H2",1847,1631,689,674
"COX6B2",43,43,11,20
"FAM71E2",4,6,9,4
"IL11",230,181,112,119
"TMEM190",6,10,11,1
"TMEM238",148,115,31,19
"RPL28",45948,39252,12394,13852
"UBE2S",7456,5969,1477,1658
"SHISA7",24,15,4221,4288
"ISOC2",2357,2067,1710,1858
"ZNF628",616,548,307,311
"NAT14",1526,1305,2715,2853
"SSC5D",311,307,506,451
"SBK2",19,34,6,0
"SGK110",46,41,2,6
"ZNF579",1334,1124,1594,1684
"FIZ1",1074,896,1568,1657
"ZNF524",511,426,555,681
"ZNF865",1439,1272,1658,1755
"ZNF784",488,473,342,310
"ZNF580",1675,1390,2078,2241
"ZNF581",1815,1578,468,515
"CCDC106",1034,815,2701,2797
"U2AF2",18032,15424,9233,9813
"EPN1",10103,8978,13930,13912
"NLRP9",0,0,0,0
"RFPL4A",3,11,0,0
"NLRP11",935,874,0,1
"NLRP4",39,55,9,13
"NLRP13",8,8,0,3
"NLRP8",0,0,0,0
"NLRP5",40,42,0,0
"ZNF787",2039,1751,1247,1222
"ZNF444",1928,1736,2572,2845
"GALP",2,0,0,2
"ZSCAN5B",4,6,7,7
"ZSCAN5A",369,377,123,125
"ZNF542",910,932,2178,2121
"ZNF582",122,114,258,237
"ZNF582-AS1",162,199,791,867
"ZNF583",188,229,532,475
"ZNF667",523,385,1981,1943
"LOC100128252",427,353,3565,3527
"ZNF471",220,266,1431,1415
"ZFP28",319,278,1186,1235
"ZNF470",396,369,1006,1075
"ZNF71",607,544,682,650
"SMIM17",25,16,633,565
"ZNF835",39,37,493,433
