"","mRNA-UHRR-C2","mRNA-UHRR-C1","mRNA-Brain-C6","mRNA-Brain-C4"
"HSPG2",14323,12915,1509,1419
"CELA3B",0,6,0,0
"CELA3A",61,101,0,0
"LINC00339",997,1014,451,565
"CDC42",11570,11748,11475,10712
"WNT4",40,27,71,104
"ZBTB40",4234,4123,2632,2762
"EPHA8",64,39,202,182
"C1QA",4,10,2049,2223
"C1QC",1,2,2402,2764
"C1QB",2,0,3552,3862
"EPHB2",1154,913,838,863
"MIR4684",0,0,0,0
"MIR4253",0,0,0,0
"LOC729059",1,0,11,4
"KDM1A",12845,13124,4720,4975
"MIR3115",0,0,0,0
"LUZP1",3920,3856,6929,6904
"HTR1D",122,98,79,65
"HNRNPR",15567,15132,8292,7701
"ZNF436",1078,1126,2829,2472
"C1orf213",421,348,987,963
"TCEA3",804,767,266,268
"ASAP3",1681,1625,1915,1792
"E2F2",2569,2416,7,7
"ID3",7767,6831,1726,1846
"MDS2",2,3,6,10
"RPL11",69214,65956,18400,18064
"TCEB3",5409,5471,2883,2949
"LOC100506963",398,409,108,156
"PITHD1",3422,3233,10185,10057
"LYPLA2",4280,3730,1830,2007
"GALE",3241,2792,967,1081
"HMGCL",2192,2046,1318,1253
"FUCA1",1840,1854,971,987
"CNR2",2,4,0,0
"MIR378F",0,0,0,0
"PNRC2",1392,1507,654,797
"SRSF10",3256,3215,981,957
"MYOM3",353,311,43,25
"IL22RA1",242,232,29,40
"IFNLR1",294,285,502,543
"LOC284632",0,2,41,34
"GRHL3",174,179,122,145
"STPG1",770,715,2184,2243
"NIPAL3",2892,2801,17454,17720
"RCAN3AS",14,13,7,4
"RCAN3",779,746,1371,1262
"NCMAP",256,220,54,56
"SRRM1",11731,11673,8033,8063
"CLIC4",13306,13809,9890,8278
"RUNX3",1883,1740,75,97
"SYF2",2625,2785,2051,2011
"C1orf63",2998,2848,4431,4171
"RHD",251,233,1,3
"TMEM50A",5189,5202,5435,4933
"RHCE",373,322,90,47
"TMEM57",2288,2437,3105,2845
"LDLRAP1",2724,2386,4458,5037
